[2015-09-28 08:55:09,614] <launcher-ui> INFO  launcher - Initializing UniFi Controller ...
[2015-09-28 08:55:09,893] <launcher-monitor> INFO  launcher - Starting UniFi Controller ...
[2015-09-28 08:55:09,896] <unifi-monitor> INFO  launcher - service_loop()
[2015-09-28 08:55:09,919] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:10,914] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:11,917] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:12,923] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:13,927] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:14,938] <UniFi> ERROR system - [exec] error, rc=1, output=
[2015-09-28 08:55:15,938] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:16,938] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:17,949] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:18,946] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:19,950] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:20,954] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:21,960] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:22,964] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:23,970] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:24,971] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:25,978] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:26,981] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:27,983] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:28,988] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:29,990] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:30,996] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:31,999] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:33,003] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:34,003] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:35,004] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:36,009] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:37,013] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:38,013] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:39,017] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:40,023] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:41,026] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
